id,fullName,triCode,typeDescKey,next_event,prob
8,Montréal Canadiens,MTL,takeaway,takeaway,0.016469038208168644
8,Montréal Canadiens,MTL,takeaway,won-faceoff,0.010979358805445764
8,Montréal Canadiens,MTL,won-faceoff,blocked-shot,0.12990287716613486
8,Montréal Canadiens,MTL,won-faceoff,giveaway,0.09868792877079187
8,Montréal Canadiens,MTL,won-faceoff,goal,0.027580450225634517
8,Montréal Canadiens,MTL,won-faceoff,hit,0.17980331974019426
8,Montréal Canadiens,MTL,won-faceoff,lost-faceoff,0.012172960377013974
8,Montréal Canadiens,MTL,won-faceoff,missed-shot,0.13877174829795932
8,Montréal Canadiens,MTL,won-faceoff,penalty,0.02316340460311802
8,Montréal Canadiens,MTL,won-faceoff,shot-on-goal,0.21128781225817111
8,Montréal Canadiens,MTL,won-faceoff,stoppage,0.12993765705292631
8,Montréal Canadiens,MTL,won-faceoff,takeaway,0.02956290377274822
8,Montréal Canadiens,MTL,won-faceoff,won-faceoff,0.019128937735307674
8,Montréal Canadiens,MTL,stoppage,won-faceoff,0.5092613766293163
8,Montréal Canadiens,MTL,stoppage,lost-faceoff,0.49073862337068375
8,Montréal Canadiens,MTL,penalty,won-faceoff,0.5092613766293163
8,Montréal Canadiens,MTL,penalty,lost-faceoff,0.49073862337068375
8,Montréal Canadiens,MTL,goal,won-faceoff,0.5092613766293163
8,Montréal Canadiens,MTL,goal,lost-faceoff,0.49073862337068375
8,Montréal Canadiens,MTL,start-game,won-faceoff,0.5092613766293163
8,Montréal Canadiens,MTL,start-game,lost-faceoff,0.49073862337068375
7,Buffalo Sabres,BUF,blocked-shot,blocked-shot,0.12986552176844196
7,Buffalo Sabres,BUF,blocked-shot,giveaway,0.08515771919242096
7,Buffalo Sabres,BUF,blocked-shot,goal,0.03354859312351417
7,Buffalo Sabres,BUF,blocked-shot,hit,0.13094773444984564
7,Buffalo Sabres,BUF,blocked-shot,lost-faceoff,0.008870595749210518
7,Buffalo Sabres,BUF,blocked-shot,missed-shot,0.1511549515665472
7,Buffalo Sabres,BUF,blocked-shot,penalty,0.021715218394067343
7,Buffalo Sabres,BUF,blocked-shot,shot-on-goal,0.2331192562892524
7,Buffalo Sabres,BUF,blocked-shot,stoppage,0.16747684774509455
7,Buffalo Sabres,BUF,blocked-shot,takeaway,0.026611787247631552
7,Buffalo Sabres,BUF,blocked-shot,won-faceoff,0.011531774473973671
7,Buffalo Sabres,BUF,giveaway,blocked-shot,0.07271278450122018
7,Buffalo Sabres,BUF,giveaway,giveaway,0.11371748261035577
7,Buffalo Sabres,BUF,giveaway,goal,0.030379999003934458
7,Buffalo Sabres,BUF,giveaway,hit,0.20152066005943192
7,Buffalo Sabres,BUF,giveaway,lost-faceoff,0.02075136543984594
7,Buffalo Sabres,BUF,giveaway,missed-shot,0.09163802978235967
7,Buffalo Sabres,BUF,giveaway,penalty,0.03346780218138353
7,Buffalo Sabres,BUF,giveaway,shot-on-goal,0.16534687982469246
7,Buffalo Sabres,BUF,giveaway,stoppage,0.20240051795408137
7,Buffalo Sabres,BUF,giveaway,takeaway,0.04814316782044258
7,Buffalo Sabres,BUF,giveaway,won-faceoff,0.019921310822252104
7,Buffalo Sabres,BUF,hit,blocked-shot,0.098119378577269
7,Buffalo Sabres,BUF,hit,giveaway,0.12784072473361105
7,Buffalo Sabres,BUF,hit,goal,0.022959415436929743
7,Buffalo Sabres,BUF,hit,hit,0.19317577126244334
7,Buffalo Sabres,BUF,hit,lost-faceoff,0.02011706835909616
7,Buffalo Sabres,BUF,hit,missed-shot,0.10357045516489506
7,Buffalo Sabres,BUF,hit,penalty,0.04298563251956547
7,Buffalo Sabres,BUF,hit,shot-on-goal,0.16664719853599655
7,Buffalo Sabres,BUF,hit,stoppage,0.16488208802190812
7,Buffalo Sabres,BUF,hit,takeaway,0.03893626134018611
7,Buffalo Sabres,BUF,hit,won-faceoff,0.02076600604809926
7,Buffalo Sabres,BUF,lost-faceoff,blocked-shot,0.10228316548191425
7,Buffalo Sabres,BUF,lost-faceoff,giveaway,0.11999238668994795
7,Buffalo Sabres,BUF,lost-faceoff,goal,0.026754164563351845
7,Buffalo Sabres,BUF,lost-faceoff,hit,0.18273599192327106
